Team;Team Id
Golden State Warriors;1
Houston Rockets;2
San Antonio Spurs;3
New Orleans Pelicans;4
Oklahoma City Thunder;5
Sacramento Kings;6
Memphis Grizzlies;7
Los Angeles Clippers;8
Utah Jazz;9
Cleveland Cavaliers;10
Toronto Raptors;11
Milwaukee Bucks;12
Chicago Bulls;13
Boston Celtics;14
Washington Wizards;15
Indiana Pacers;16
Charlotte Hornets;17
Atlanta Hawks;18
Miami Heat;19
New York Knicks;20
Detroit Pistons;21
Los Angeles Lakers;22
Portland Trail Blazers;23
Dallas Mavericks;24
Minnesota Timberwolves;25
Brooklyn Nets;26
Philadelphia Sixers;27
Orlando Magic;28
New Jersey Nets;29
Phoenix Suns;30
Denver Nuggets;31
New Orleans Hornets;32
Charlotte Bobcats;33
Seattle SuperSonics;34